"","Dolphin.ID","Birth.Date","Death.Date","Sex","total.num.sightings","gap","time","event","trunc.time","first.sight.date","last.sight.date"
"206",206,2004-11-01,2006-05-01,"Unknown",1,NA,1.49486652977413,1,0,2005-07-09,2005-07-09
"207",207,2002-11-01,2004-05-01,"Unknown",2,0.271047227926078,1.49760438056126,1,0,2003-05-11,2003-08-18
"208",208,2003-10-29,2005-05-01,"Unknown",3,0.49555099247091,1.50581793292266,1,0,2003-11-11,2004-09-19
"209",209,2012-11-01,2014-05-09,"Unknown",6,0.158795345653662,1.51676933607118,1,0,2013-07-29,2013-11-30
"210",210,2007-10-01,2009-04-16,"Unknown",3,0.0574948665297741,1.54140999315537,1,0,2008-06-01,2008-07-12
"211",211,1992-11-01,1994-05-26,"Unknown",9,0.632443531827515,1.56331279945243,1,0,1993-03-22,1994-05-15
"212",212,2006-11-01,2008-06-05,"Unknown",1,NA,1.59342915811088,1,0,2007-05-22,2007-05-22
"213",213,2012-12-15,2014-08-05,"Unknown",7,0.11772758384668,1.637234770705,1,0,2013-05-26,2013-10-08
"214",214,1988-11-01,1990-06-25,"Male",20,0.646132785763176,1.64544832306639,1,0,1989-02-20,1990-06-01
"215",215,1992-11-01,1994-07-02,"Unknown",4,0.766598220396988,1.66461327857632,1,0,1993-07-01,1994-05-15
"216",216,1989-11-01,1991-07-21,"Unknown",0,NA,1.71663244353183,1,0,NA,NA
"217",217,2012-08-04,2014-05-01,"Unknown",7,0.780287474332649,1.73853524982888,1,0,2012-09-15,2013-11-11
"218",218,2018-04-01,NA,"Unknown",2,0.985626283367556,1.75222450376454,0,0,2018-06-17,2019-06-12
"219",219,1990-11-01,1992-08-28,"Male",6,0.80766598220397,1.82340862422998,1,0,1990-11-11,1991-11-03
"220",220,2003-10-15,2005-08-13,"Unknown",7,0.621492128678987,1.82888432580424,1,0,2003-12-13,2005-05-08
"221",221,2008-02-24,2010-01-02,"Unknown",2,1.1170431211499,1.85626283367556,1,0,2008-06-22,2009-08-04
"222",222,2003-05-01,2005-03-10,"Unknown",15,0.761122518822724,1.8590006844627,1,0,2003-07-27,2004-11-21
"223",223,2016-03-01,2018-03-05,"Female",15,0.605065023956194,2.00958247775496,1,0,2016-06-03,2017-11-27
"224",224,1996-12-09,1998-12-15,"Unknown",8,0.960985626283368,2.01505817932923,1,0,1996-12-16,1998-01-28
"225",225,2009-09-30,2011-10-09,"Unknown",3,0.91170431211499,2.02327173169062,1,0,2009-10-18,2010-11-02
"226",226,2017-12-15,NA,"Unknown",8,0.251882272416153,2.04517453798768,0,0,2019-05-31,2019-12-02
"227",227,2005-12-10,2008-01-08,"Male",19,0.840520191649555,2.07802874743326,1,0,2006-04-15,2007-07-26
"228",228,2013-02-15,2015-03-20,"Unknown",9,0.720054757015743,2.08898015058179,1,0,2013-07-22,2014-11-20
"229",229,2017-11-24,NA,"Unknown",20,0.665297741273101,2.10266940451745,0,0,2017-12-08,2019-12-04
"230",230,2017-11-19,NA,"Female",27,0.613278576317591,2.11635865845311,0,0,2017-11-24,2019-12-07
"231",231,2017-11-17,NA,"Unknown",5,0.881587953456537,2.12183436002738,0,0,2017-12-08,2019-07-17
"232",232,2017-11-15,NA,"Unknown",7,1.00752908966461,2.12731006160164,0,0,2017-11-27,2019-11-23
"233",233,2003-12-15,2006-02-03,"Unknown",6,0.82135523613963,2.13826146475017,1,0,2004-02-25,2005-11-24
"234",234,2000-11-01,2002-12-26,"Unknown",5,0.919917864476386,2.1492128678987,1,0,2001-07-19,2002-08-10
"235",235,2017-11-07,NA,"Unknown",11,0.476386036960986,2.1492128678987,0,0,2017-12-08,2018-09-22
"236",236,2002-11-30,2005-01-24,"Male",83,0.172484599589322,2.15195071868583,1,0,2002-12-09,2004-11-14
